its, t_max, delta_t, its_eq, -, -, -, -
1000, 10, 0.010000, 0, 0, 0, 0, 0
E_kin [eV], E_pot [eV], E_tot [eV], <T> [K], T [K], <P> [MPa], P [MPa], a [Å]
26.383375, -641.201927, -614.818552, 832.264366, 797.308199, 1598.941573, 1607.038849, 4.030000
27.079075, -642.023029, -614.943954, 832.190652, 818.332323, 1598.786709, 1569.672339, 4.030000
26.857132, -641.705663, -614.848530, 832.082412, 811.625204, 1598.744088, 1590.688734, 4.030000
26.758266, -641.499310, -614.741043, 831.959664, 808.637466, 1598.921852, 1632.696942, 4.030000
27.864384, -642.728141, -614.863756, 832.012293, 842.064464, 1599.050629, 1623.647000, 4.030000
28.778486, -643.707272, -614.928786, 832.207508, 869.688691, 1598.978656, 1585.159826, 4.030000
28.581166, -643.416222, -614.835055, 832.369973, 863.725689, 1598.753557, 1555.309508, 4.030000
28.198608, -643.003253, -614.804645, 832.471484, 852.164739, 1598.459165, 1541.347116, 4.030000
28.261817, -643.070647, -614.808831, 832.581706, 854.074905, 1598.145392, 1536.959745, 4.030000
28.578694, -643.445260, -614.866566, 832.739418, 863.650962, 1597.836506, 1537.294719, 4.030000
28.454370, -643.310474, -614.856104, 832.876561, 859.893888, 1597.630710, 1557.088929, 4.030000
27.934337, -642.746958, -614.812622, 832.933355, 844.178430, 1597.599666, 1591.453035, 4.030000
27.317268, -642.195977, -614.878709, 832.896341, 825.530542, 1597.743252, 1626.316747, 4.030000
26.148883, -640.984747, -614.835864, 832.684030, 790.221833, 1598.072540, 1663.930114, 4.030000
25.130856, -639.865028, -614.734172, 832.321520, 759.456965, 1598.508578, 1686.152294, 4.030000
25.569843, -640.329457, -614.759614, 832.027932, 772.723180, 1598.865824, 1671.029599, 4.030000
27.097566, -641.987486, -614.889920, 831.963536, 818.891150, 1598.981901, 1622.545418, 4.030000
28.003894, -642.925999, -614.922105, 832.033374, 846.280451, 1598.886559, 1579.436870, 4.030000
27.824385, -642.644498, -614.820113, 832.076201, 840.855692, 1598.671382, 1554.560113, 4.030000
27.651935, -642.469750, -614.817815, 832.093438, 835.644217, 1598.458992, 1554.706622, 4.030000
27.806930, -642.673217, -614.866286, 832.133028, 840.328190, 1598.302522, 1565.913127, 4.030000
27.741817, -642.653634, -614.911817, 832.162824, 838.360469, 1598.185373, 1573.818419, 4.030000
27.197939, -642.036383, -614.838445, 832.114070, 821.924406, 1598.184662, 1598.036050, 4.030000
26.752745, -641.612527, -614.859783, 832.002016, 808.470597, 1598.322130, 1627.190552, 4.030000
26.567365, -641.389769, -614.822404, 831.864593, 802.868399, 1598.518650, 1639.984194, 4.030000
27.013604, -641.812465, -614.798860, 831.791772, 816.353805, 1598.660656, 1628.765982, 4.030000
28.139157, -643.000787, -614.861630, 831.878578, 850.368110, 1598.655097, 1597.471047, 4.030000
28.813675, -643.747449, -614.933774, 832.059385, 870.752117, 1598.531856, 1572.158266, 4.030000
28.110500, -642.975396, -614.864896, 832.140138, 849.502087, 1598.488383, 1589.141750, 4.030000
26.832272, -641.650168, -614.817896, 832.042137, 810.873933, 1598.686088, 1641.390378, 4.030000
26.281741, -641.017841, -614.736100, 831.868718, 794.236811, 1599.100478, 1689.023080, 4.030000
27.472576, -642.290390, -614.817814, 831.861208, 830.223964, 1599.402206, 1665.178830, 4.030000
29.292370, -644.262252, -614.969881, 832.103740, 885.218339, 1599.251383, 1566.221248, 4.030000
29.632307, -644.574718, -614.942411, 832.390562, 895.491248, 1598.735070, 1485.146069, 4.030000
28.428093, -643.295328, -614.867235, 832.510873, 859.099795, 1598.252619, 1491.631094, 4.030000
26.775607, -641.590924, -614.815317, 832.406168, 809.161499, 1598.121256, 1568.958602, 4.030000
26.003185, -640.690025, -614.686840, 832.198189, 785.818824, 1598.330135, 1644.910153, 4.030000
27.336949, -642.173075, -614.836126, 832.171198, 826.125319, 1598.463465, 1628.329473, 4.030000
28.930986, -643.951560, -615.020573, 832.357597, 874.297281, 1598.299095, 1561.315869, 4.030000
28.603546, -643.465417, -614.861871, 832.498761, 864.402010, 1598.044645, 1540.538818, 4.030000
27.678224, -642.483982, -614.805759, 832.516042, 836.438663, 1597.961718, 1579.137285, 4.030000
27.025823, -641.918189, -614.892366, 832.447077, 816.723040, 1598.144246, 1639.760728, 4.030000
26.220912, -641.002093, -614.781180, 832.272953, 792.398575, 1598.480040, 1675.376762, 4.030000
26.285776, -641.056400, -614.770624, 832.108822, 794.358772, 1598.792974, 1670.767736, 4.030000
27.248152, -642.170380, -614.922228, 832.071464, 823.441868, 1599.021276, 1651.759235, 4.030000
27.338169, -642.268462, -614.930292, 832.046103, 826.162192, 1599.194217, 1639.316507, 4.030000
26.502609, -641.271136, -614.768527, 831.913049, 800.911472, 1599.293373, 1622.396698, 4.030000
26.564846, -641.331497, -614.766651, 831.789131, 802.792292, 1599.242677, 1587.379848, 4.030000
27.555803, -642.471970, -614.916167, 831.793156, 832.739108, 1599.140106, 1575.035955, 4.030000
27.725970, -642.669526, -614.943556, 831.818846, 837.881570, 1599.199429, 1613.199643, 4.030000
26.689930, -641.534073, -614.844143, 831.712768, 806.572332, 1599.513950, 1674.055302, 4.030000
25.923717, -640.659406, -614.735689, 831.510695, 783.417303, 1599.909745, 1694.108935, 4.030000
26.799358, -641.588206, -614.788848, 831.420564, 809.879268, 1600.045927, 1632.593442, 4.030000
28.669625, -643.572017, -614.902393, 831.565702, 866.398901, 1599.690770, 1514.453102, 4.030000
30.030940, -644.957029, -614.926090, 831.879637, 907.537976, 1598.962097, 1423.351997, 4.030000
30.179923, -645.126763, -614.946840, 832.209516, 912.040255, 1598.213296, 1417.003476, 4.030000
29.011344, -643.882498, -614.871153, 832.391960, 876.725700, 1597.777577, 1491.897807, 4.030000
27.453386, -642.279241, -614.825855, 832.380744, 829.644057, 1597.739209, 1588.377369, 4.030000
26.225511, -641.044338, -614.818827, 832.218779, 792.537547, 1597.962512, 1652.671708, 4.030000
25.546080, -640.340118, -614.794038, 831.974999, 772.005063, 1598.342172, 1691.738626, 4.030000
25.704868, -640.485719, -614.780851, 831.752534, 776.803656, 1598.765478, 1703.322114, 4.030000
26.521687, -641.375025, -614.853337, 831.630990, 801.488026, 1599.049551, 1669.499567, 4.030000
27.164625, -642.006478, -614.841853, 831.588137, 820.917665, 1599.115193, 1615.460128, 4.030000
27.475502, -642.298103, -614.822602, 831.583054, 830.312389, 1598.973043, 1563.435501, 4.030000
27.627464, -642.452766, -614.825303, 831.596235, 834.904692, 1598.666248, 1521.660616, 4.030000
27.670525, -642.473907, -614.803381, 831.614456, 836.206025, 1598.264635, 1497.058115, 4.030000
27.862269, -642.708781, -614.846512, 831.655346, 842.000534, 1597.898487, 1505.263126, 4.030000
27.833122, -642.736050, -614.902928, 831.692461, 841.119696, 1597.662975, 1537.842811, 4.030000
27.307053, -642.089978, -614.782925, 831.667185, 825.221863, 1597.573403, 1574.732572, 4.030000
